怪兽类型	怪物名称	图片资源	血条	攻击	防御	经验	掉落金币
3001	九牛二虎丸	九牛二虎丸.bmp	385	96	45	7	19
3002	兽面人	兽面人.bmp	158	21	37	27	7
3003	兽面武士	兽面武士.bmp	443	88	44	27	27
3004	冥卫兵	冥卫兵.bmp	327	92	53	13	7
3005	冥战士	冥战士.bmp	166	50	25	25	24
3006	冥灵魔王	冥灵魔王.bmp	211	35	8	30	12
3007	冥队长	冥队长.bmp	356	81	10	17	21
3008	初级守卫	初级守卫.bmp	310	47	50	26	11
3009	初级法师	初级法师.bmp	452	80	56	15	26
3010	双手剑士	双手剑士.bmp	162	43	32	13	9
3011	大蝙蝠	大蝙蝠.bmp	401	67	8	28	11
3012	女义勇兵	女义勇兵.bmp	165	119	19	20	22
3013	小蝙蝠	小蝙蝠.bmp	233	47	44	26	9
3014	影子战士	影子战士.bmp	372	62	55	24	17
3015	怒金刚	怒金刚.bmp	355	34	46	30	30
3016	怪王	怪王.bmp	407	77	21	5	24
3017	灵武士	灵武士.bmp	240	55	46	8	10
3018	灵法师	灵法师.bmp	458	94	14	7	26
3019	男义勇兵	男义勇兵.bmp	125	48	43	30	25
3020	白衣武士	白衣武士.bmp	472	86	36	5	11
3021	石头怪人	石头怪人.bmp	411	78	26	29	24
3022	红商人	红商人.bmp	350	86	36	23	14
3023	红头怪	红头怪.bmp	126	73	11	21	19
3024	红蝙蝠	红蝙蝠.bmp	179	39	6	20	19
3025	红衣法师	红衣法师.bmp	356	62	22	6	28
3026	红衣魔王	红衣魔王.bmp	447	99	5	19	6
3027	绿头怪	绿头怪.bmp	147	59	53	11	21
3028	蓝商人	蓝商人.bmp	425	99	60	13	19
3029	金卫士	金卫士.bmp	460	32	13	28	26
3030	金队长	金队长.bmp	379	62	47	7	19
3031	青头怪	青头怪.bmp	154	118	18	12	8
3032	骷颅	骷颅.bmp	244	97	11	20	18
3033	骷颅士兵	骷颅士兵.bmp	477	110	32	22	21
3034	骷颅队长	骷颅队长.bmp	226	92	44	11	19
3035	高级卫兵	高级卫兵.bmp	377	95	20	19	15
3036	高级法师	高级法师.bmp	264	38	24	11	8
3037	麻衣法师	麻衣法师.bmp	223	71	29	16	16
